Date,Visiting: Team,Home: Team,Visiting: Score,Home: Score,Visiting: Win,Home: Win,Visiting: Fielding performance,Home: Fielding performance,Visiting: Pitching performance,Home: Pitching performance,Visiting: Batting performance,Home: Batting performance,Visiting: Pythagorean expectation,Home: Pythagorean expectation
2018-04-11,SDN,COL,4,6,False,True,45.5,54.25,32.5,30.75,15.5,19.0,0.322566702912462,0.6774332970875381
2018-04-11,OAK,LAN,16,6,True,False,48.5,48.5,-18.25,-49.0,90.25,41.25,0.8575291228482562,0.14247087715174378
2018-04-11,NYN,MIA,4,1,True,False,56.5,50.0,20.0,33.0,14.5,6.0,0.9266897695979149,0.07331023040208502
2018-04-11,CIN,PHI,3,4,False,True,69.25,69.5,31.25,38.5,22.5,19.0,0.3713433365298488,0.6286566634701513
2018-04-11,MIL,SLN,3,2,True,False,58.75,61.25,9.0,22.5,20.25,17.5,0.677433297087538,0.32256670291246203
2018-04-11,ATL,WAS,5,3,True,False,81.5,63.0,53.5,20.75,37.75,8.75,0.7180502909748407,0.2819497090251592
2018-04-11,TOR,BAL,3,5,False,True,38.5,49.25,14.25,26.0,15.25,32.0,0.2819497090251592,0.7180502909748407
2018-04-11,TBA,CHA,1,2,False,True,45.75,51.75,35.5,28.25,6.25,11.5,0.21952110167131533,0.7804788983286848
2018-04-11,DET,CLE,1,5,False,True,49.75,56.75,4.0,10.0,13.5,34.0,0.04996047577934694,0.9500395242206531
2018-04-11,SEA,KCA,4,2,True,False,45.25,48.25,33.75,33.75,12.75,8.75,0.7804788983286847,0.21952110167131533
2018-04-11,HOU,MIN,8,9,False,True,50.25,49.5,-11.5,2.0,35.25,42.75,0.44632191856552705,0.553678081434473
2018-04-11,ANA,TEX,7,2,True,False,46.75,49.5,-15.5,10.25,38.0,25.25,0.9082586701681273,0.09174132983187262
2018-04-12,PIT,CHN,6,1,True,False,52.75,51.0,30.75,-12.5,54.75,13.5,0.9636985141706145,0.036301485829385485
2018-04-12,SLN,CIN,13,4,True,False,48.5,50.0,-2.0,-24.0,66.75,20.75,0.8963153890566402,0.10368461094335975
2018-04-12,SFN,SDN,7,0,True,False,51.5,53.25,25.0,-3.0,39.5,1.25,1.0,0.0
2018-04-12,COL,WAS,5,1,True,False,56.25,49.75,31.0,10.5,32.25,6.5,0.9500395242206531,0.04996047577934694
2018-04-12,DET,CLE,3,9,False,True,48.5,47.75,-11.25,0.75,29.25,56.25,0.11810900525342029,0.8818909947465797
2018-04-12,ANA,KCA,7,1,True,False,56.25,55.5,-10.0,3.0,49.0,27.0,0.9723748710649908,0.02762512893500924
2018-04-12,CHA,MIN,0,4,False,True,45.25,50.75,46.5,23.75,3.25,14.25,0.0,1.0
2018-04-13,ATL,CHN,4,0,True,False,54.0,49.0,21.75,19.25,32.25,6.5,1.0,0.0
2018-04-13,SLN,CIN,5,3,True,False,49.25,53.5,23.25,28.0,31.0,10.0,0.7180502909748407,0.2819497090251592
2018-04-13,PIT,MIA,2,7,False,True,56.0,54.0,4.0,-1.75,18.25,36.25,0.09174132983187262,0.9082586701681273
2018-04-13,MIL,NYN,5,6,False,True,48.5,58.0,-3.25,7.0,29.25,35.5,0.4173531650396506,0.5826468349603493
2018-04-13,SFN,SDN,1,5,False,True,45.75,58.0,23.75,8.75,18.5,23.0,0.04996047577934694,0.9500395242206531
2018-04-13,COL,WAS,2,1,True,False,51.75,46.0,32.25,34.25,10.75,6.25,0.7804788983286848,0.21952110167131533
2018-04-13,BAL,BOS,3,7,False,True,42.25,48.0,18.5,-1.75,24.75,34.0,0.17500611117500348,0.8249938888249965
2018-04-13,TOR,CLE,8,4,True,False,56.5,52.25,14.0,20.75,35.75,28.25,0.7804788983286847,0.2195211016713153
2018-04-13,NYA,DET,8,6,True,False,44.75,53.5,-4.75,5.0,45.75,42.75,0.6286566634701511,0.3713433365298488
2018-04-13,TEX,HOU,2,3,False,True,44.5,45.5,57.5,23.0,16.25,5.5,0.32256670291246203,0.677433297087538
2018-04-13,OAK,SEA,4,7,False,True,53.5,54.5,-4.0,-8.5,30.0,39.25,0.2642301442514282,0.7357698557485718
2018-04-13,PHI,TBA,2,1,True,False,45.25,50.5,53.0,24.0,18.0,-2.0,0.7804788983286848,0.21952110167131533
2018-04-14,ATL,CHN,10,14,False,True,35.75,61.0,-34.5,-9.75,49.75,57.25,0.35074998600484597,0.6492500139951541
2018-04-14,SLN,CIN,6,1,True,False,57.75,56.5,21.0,-1.0,42.5,8.75,0.9636985141706145,0.036301485829385485
2018-04-14,PIT,MIA,1,0,True,False,59.25,57.75,14.0,7.75,20.0,12.0,1.0,0.0
2018-04-14,MIL,NYN,5,1,True,False,55.0,50.5,47.75,24.25,26.25,-5.75,0.9500395242206531,0.04996047577934694
2018-04-14,SFN,SDN,4,5,False,True,46.25,55.25,15.25,12.0,29.75,29.25,0.3993071787485911,0.6006928212514089
2018-04-14,COL,WAS,2,6,False,True,45.0,46.75,35.5,15.0,8.0,26.25,0.11810900525342029,0.8818909947465796
2018-04-14,BAL,BOS,3,10,False,True,44.5,56.25,2.0,-17.0,33.75,49.5,0.09945720536059548,0.9005427946394046
2018-04-14,TEX,HOU,6,5,True,False,59.0,58.5,43.25,-10.0,46.5,14.5,0.5826468349603493,0.4173531650396506
2018-04-14,ANA,KCA,5,3,True,False,52.75,44.75,25.5,21.25,26.75,11.25,0.7180502909748407,0.2819497090251592
2018-04-14,OAK,SEA,8,10,False,True,38.75,51.5,-9.5,-21.25,48.0,56.5,0.3993071787485911,0.6006928212514089
