row,Games home manager,Wins home manager,Losses home manager,Games visiting manager,Wins visiting manager,Losses visiting manager
557,162.0,90.0,72.0,161.0,84.0,77.0
558,162.0,60.0,102.0,163.0,81.0,81.0
559,162.0,91.0,71.0,161.0,71.0,90.0
560,100.0,50.0,50.0,,,
561,162.0,77.0,85.0,105.0,53.0,52.0
562,162.0,83.0,79.0,,,
563,129.0,53.0,76.0,163.0,85.0,77.0
564,162.0,77.0,84.0,162.0,89.0,72.0
565,161.0,84.0,77.0,,,
566,162.0,98.0,64.0,162.0,95.0,67.0
567,162.0,75.0,87.0,18.0,6.0,12.0
568,,,,161.0,57.0,104.0
569,162.0,101.0,61.0,,,
570,162.0,90.0,72.0,161.0,84.0,77.0
571,162.0,77.0,85.0,105.0,53.0,52.0
572,162.0,83.0,79.0,,,
573,162.0,98.0,64.0,162.0,95.0,67.0
574,162.0,75.0,87.0,18.0,6.0,12.0
575,162.0,90.0,72.0,105.0,53.0,52.0
576,162.0,60.0,102.0,161.0,71.0,90.0
577,162.0,91.0,71.0,129.0,53.0,76.0
578,100.0,50.0,50.0,163.0,81.0,81.0
579,162.0,77.0,85.0,,,
580,162.0,83.0,79.0,161.0,84.0,77.0
581,,,,163.0,85.0,77.0
582,162.0,77.0,84.0,161.0,57.0,104.0
583,162.0,89.0,72.0,162.0,101.0,61.0
584,,,,161.0,84.0,77.0
585,162.0,98.0,64.0,18.0,6.0,12.0
586,162.0,75.0,87.0,,,
587,,,,162.0,95.0,67.0
588,162.0,90.0,72.0,105.0,53.0,52.0
589,162.0,60.0,102.0,161.0,71.0,90.0
590,162.0,91.0,71.0,129.0,53.0,76.0
591,100.0,50.0,50.0,163.0,81.0,81.0
592,162.0,77.0,85.0,,,
593,162.0,83.0,79.0,161.0,84.0,77.0
594,,,,163.0,85.0,77.0
595,162.0,77.0,84.0,161.0,57.0,104.0
596,162.0,89.0,72.0,162.0,101.0,61.0
597,,,,161.0,84.0,77.0
598,162.0,98.0,64.0,18.0,6.0,12.0
599,162.0,75.0,87.0,,,
600,,,,162.0,95.0,67.0
601,162.0,90.0,72.0,105.0,53.0,52.0
602,162.0,60.0,102.0,161.0,71.0,90.0
603,162.0,91.0,71.0,129.0,53.0,76.0
604,100.0,50.0,50.0,163.0,81.0,81.0
605,162.0,77.0,85.0,,,
606,162.0,83.0,79.0,161.0,84.0,77.0
607,,,,163.0,85.0,77.0
608,162.0,77.0,84.0,161.0,57.0,104.0
609,162.0,89.0,72.0,162.0,101.0,61.0
610,,,,161.0,84.0,77.0
611,162.0,98.0,64.0,18.0,6.0,12.0
