playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
collmjo01,2017,1,ATL,NL,0,2,11,0,0,0,0,51,29,17,7,6,18,0.372,9.00,2,1,0,0,87,5,19,2,1,1
colomal01,2017,1,TBA,AL,2,3,65,0,0,0,47,200,57,24,4,23,58,0.232,3.24,7,4,3,0,281,53,27,3,6,6
colonba01,2017,1,ATL,NL,2,8,13,13,0,0,0,189,92,57,11,20,42,0.338,8.14,0,1,1,0,299,0,66,4,2,6
colonba01,2017,2,MIN,AL,5,6,15,15,1,0,0,240,100,46,17,15,47,0.302,5.18,0,0,0,1,349,0,46,2,1,4
conlead01,2017,1,MIA,NL,8,8,22,20,0,0,0,308,114,70,19,42,72,0.283,6.14,4,5,8,0,463,1,74,8,2,10
corbipa01,2017,1,ARI,NL,14,13,33,32,0,0,0,569,208,85,26,61,178,0.276,4.03,8,10,3,0,826,0,97,4,5,14
cosarja01,2017,1,SDN,NL,0,2,7,6,0,0,0,72,26,13,0,19,15,0.283,4.88,0,1,2,1,114,0,15,1,0,4
cottojh01,2017,1,OAK,AL,9,10,24,24,0,0,0,387,133,80,28,53,105,0.267,5.58,1,9,4,2,566,0,91,4,5,10
couloda01,2017,1,OAK,AL,2,2,72,0,0,0,0,155,46,20,4,22,39,0.240,3.48,1,5,4,0,219,10,22,0,1,6
coveydy01,2017,1,CHA,AL,0,7,18,12,0,0,0,210,83,60,20,34,41,0.305,7.71,1,6,1,1,309,4,60,1,1,12
crichst01,2017,1,BAL,AL,0,0,8,0,0,0,0,37,26,11,2,4,8,0.456,8.03,0,2,0,1,62,1,11,0,1,1
crickky01,2017,1,SFN,NL,0,0,30,0,0,0,0,97,22,11,2,17,28,0.191,3.06,1,6,1,0,134,14,13,1,0,3
crockky01,2017,1,CLE,AL,0,0,4,0,0,0,0,5,4,2,0,1,2,0.444,10.80,0,0,1,0,11,0,2,0,0,0
cuetojo01,2017,1,SFN,NL,8,8,25,25,0,0,0,442,160,74,22,53,136,0.277,4.52,2,4,8,1,648,0,77,7,3,10
cuevawi01,2017,1,DET,AL,0,0,1,0,0,0,0,1,3,4,0,0,1,0.750,108.00,0,0,1,0,5,0,4,0,0,0
curtijo02,2017,1,MIN,AL,0,0,9,0,0,0,0,26,9,8,2,2,10,0.257,8.31,0,2,1,0,38,4,8,0,0,0
curtiza01,2017,1,SEA,AL,0,0,3,0,0,0,0,14,3,0,1,1,2,0.167,0.00,0,2,2,0,21,2,3,0,0,0
curtiza01,2017,2,PHI,NL,0,0,3,0,0,0,0,11,3,1,0,2,4,0.250,2.45,0,0,0,0,15,1,1,1,0,0
danisty01,2017,1,CHA,AL,1,0,1,1,0,0,0,15,3,0,0,6,6,0.176,0.00,0,0,0,0,23,0,0,0,0,1
darviyu01,2017,1,TEX,AL,6,9,22,22,0,0,0,411,115,61,20,45,148,0.225,4.01,0,9,5,1,564,0,63,1,3,11
darviyu01,2017,2,LAN,NL,4,3,9,9,0,0,0,149,44,19,7,13,61,0.235,3.44,1,3,1,0,202,0,20,1,0,3
davieza01,2017,1,MIL,NL,17,9,33,33,0,0,0,574,204,83,20,55,124,0.275,3.90,3,2,9,0,817,0,90,7,5,22
davisjd01,2017,1,HOU,AL,0,0,2,0,0,0,0,5,1,0,0,1,3,0.167,0.00,0,0,0,0,7,2,0,0,0,0
davisro03,2017,1,CIN,NL,1,3,7,6,0,0,0,72,38,23,7,14,20,0.365,8.63,0,3,1,0,123,0,25,2,1,3
daviswa01,2017,1,CHN,NL,4,2,59,0,0,0,32,176,39,15,6,28,79,0.186,2.30,1,7,3,0,242,56,16,1,0,6
daytogr01,2017,1,LAN,NL,1,1,29,0,0,0,0,71,19,13,5,12,20,0.221,4.94,1,0,0,0,102,6,13,1,3,0
degroja01,2017,1,NYN,NL,15,10,31,31,1,0,0,604,180,79,28,59,239,0.237,3.53,5,7,2,0,827,0,87,3,5,18
dejonch01,2017,1,SEA,AL,0,3,7,4,0,0,0,85,31,20,5,13,13,0.282,6.35,0,0,0,0,125,2,20,1,1,2
delarjo01,2017,1,ARI,NL,3,1,65,0,0,0,0,154,46,24,7,21,45,0.240,4.21,4,5,3,0,219,8,24,2,1,5
delarru01,2017,1,ARI,NL,0,1,9,0,0,0,0,23,7,4,2,4,12,0.233,4.70,1,0,0,1,34,1,4,0,0,0
deleojo03,2017,1,TBA,AL,1,0,1,0,0,0,0,8,4,3,1,3,2,0.333,10.13,0,2,0,0,15,0,3,0,0,0
delgara01,2017,1,ARI,NL,1,2,26,5,0,0,1,188,60,25,6,14,60,0.251,3.59,0,1,0,0,259,5,31,4,2,5
dermoma01,2017,1,TOR,AL,2,0,23,0,0,0,0,67,23,11,6,5,15,0.264,4.43,1,1,2,0,95,3,13,0,1,2
descada01,2017,1,ARI,NL,0,0,2,0,0,0,0,6,0,0,0,0,0,0.000,0.00,0,0,0,0,6,2,0,0,0,0
despaod01,2017,1,MIA,NL,2,3,18,8,0,0,1,175,57,26,3,24,31,0.256,4.01,1,1,3,0,254,5,31,2,2,4
devench02,2017,1,HOU,AL,8,5,62,0,0,0,4,242,50,24,11,26,100,0.174,2.68,3,2,2,0,316,10,26,0,1,5
diazda01,2017,1,HOU,AL,1,1,10,1,0,0,0,39,17,13,3,4,20,0.315,9.00,0,4,0,0,58,4,14,0,0,3
diazed04,2017,1,SEA,AL,4,6,66,0,0,0,34,198,44,24,10,32,89,0.183,3.27,2,3,3,1,278,52,28,1,2,1
diazja01,2017,1,COL,NL,0,0,4,0,0,0,0,15,12,5,0,5,2,0.500,9.00,0,0,1,0,30,3,6,0,0,2
diazju03,2017,1,TBA,AL,1,4,31,0,0,0,0,90,32,19,4,15,28,0.271,5.70,2,4,0,0,136,5,20,1,2,1
diazmi02,2017,1,SDN,NL,1,1,31,3,0,0,0,125,44,34,11,25,33,0.275,7.34,0,5,3,1,192,8,35,2,2,4
dickera01,2017,1,ATL,NL,10,10,31,31,0,0,0,570,193,90,26,67,136,0.266,4.26,3,13,10,2,815,0,99,7,5,18
diekmja01,2017,1,TEX,AL,0,0,11,0,0,0,1,32,4,3,1,10,13,0.121,2.53,1,0,0,0,45,2,3,0,2,2
