playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
bridwpa01,2017,1,LAA,AL,P,21,20,363,9,5,2,0,,,,,
brinsle01,2017,1,MIL,NL,OF,16,12,336,24,0,0,0,,,,,
brittza01,2017,1,BAL,AL,P,38,0,112,3,6,1,0,,,,,
brothre01,2017,1,ATL,NL,P,27,0,71,0,3,0,1,,,,,
broxtjo01,2017,1,SLN,NL,P,20,0,47,0,3,0,0,,,,,
broxtke01,2017,1,MIL,NL,OF,139,113,3086,231,5,7,0,,,,,
bruceja01,2017,1,NYN,NL,1B,11,10,267,76,6,2,7,,,,,
bruceja01,2017,1,NYN,NL,OF,92,91,2400,195,3,2,0,,,,,
bruceja01,2017,2,CLE,AL,1B,1,0,6,1,0,0,0,,,,,
bruceja01,2017,2,CLE,AL,OF,41,40,1020,56,2,2,0,,,,,
brugmja01,2017,1,OAK,AL,OF,43,40,1043,85,1,2,1,,,,,
bryankr01,2017,1,CHN,NL,1B,2,1,30,12,3,0,0,,,,,
bryankr01,2017,1,CHN,NL,3B,144,140,3638,72,260,18,23,,,,,
bryankr01,2017,1,CHN,NL,OF,9,8,195,18,0,0,0,,,,,
buchaja01,2017,1,CIN,NL,P,5,0,43,0,3,1,0,,,,,
buchhcl01,2017,1,PHI,NL,P,2,2,22,0,0,0,0,,,,,
buchtry01,2017,1,SDN,NL,P,42,0,115,2,2,0,0,,,,,
buchtry01,2017,2,KCA,AL,P,29,0,81,0,2,0,0,,,,,
buehlwa01,2017,1,LAN,NL,P,8,0,28,2,1,0,1,,,,,
bumgama01,2017,1,SFN,NL,P,17,17,333,2,10,0,1,,,,,
bummeaa01,2017,1,CHA,AL,P,30,0,66,1,6,1,1,,,,,
bundydy01,2017,1,BAL,AL,P,28,28,509,5,12,1,3,,,,,
burnsbi02,2017,1,KCA,AL,OF,5,0,30,2,0,0,0,,,,,
busenal01,2017,1,MIN,AL,P,28,0,95,0,2,1,0,,,,,
bushma01,2017,1,TEX,AL,P,57,0,157,6,4,1,1,,,,,
