yearID,playerID,Games,Wins,Losses
2000,bochybr01,162,76,86
2000,bakerdu01,162,97,65
2000,larusto01,162,95,67
2001,sciosmi01,162,75,87
2001,hargrmi01,162,63,98
2001,williji03,118,65,53
2001,kerrijo01,43,17,26
2001,manueje01,162,83,79
2001,manuech01,162,91,71
2001,garneph01,162,66,96
2001,muserto01,162,65,97
2001,kellyto01,162,85,77
2001,torrejo01,161,95,65
2001,howear01,162,102,60
2001,pinielo01,162,116,46
2001,rothsla01,14,4,10
2001,mcraeha01,148,58,90
2001,oatesjo01,28,11,17
2001,narroje01,134,62,72
2001,martibu01,162,80,82
2001,brenlbo01,162,92,70
2001,coxbo01,162,88,74
2001,baylodo01,162,88,74
2001,boonebo01,162,66,96
2001,bellbu01,162,73,89
2001,bolesjo99,48,22,26
2001,perezto01,114,54,60
2001,dierkla01,162,93,69
2001,tracyji01,162,86,76
2001,lopesda01,162,68,94
2001,aloufe01,53,21,32
2001,torboje01,109,47,62
2001,valenbo02,162,82,80
2001,bowala01,162,86,76
2001,mcclell01,162,62,100
2001,bochybr01,162,79,83
2001,bakerdu01,162,90,72
2001,larusto01,162,93,69
2002,sciosmi01,162,99,63
2002,hargrmi01,162,67,95
2002,littlgr99,162,93,69
2002,manueje01,162,81,81
2002,manuech01,86,39,47
2002,skinnjo01,76,35,41
2002,garneph01,6,0,6
2002,pujollu01,155,55,100
2002,muserto01,23,8,15
2002,mizerjo01,13,5,8
2002,penato01,126,49,77
2002,gardero01,161,94,67
2002,torrejo01,161,103,58
2002,howear01,162,103,59
2002,pinielo01,162,93,69
2002,mcraeha01,161,55,106
2002,narroje01,162,72,90
2002,martibu01,53,20,33
2002,toscaca99,109,58,51
2002,brenlbo01,162,98,64
2002,coxbo01,161,101,59
2002,baylodo01,83,34,49
2002,lachere01,1,0,1
2002,kimmbr01,78,33,45
2002,boonebo01,162,78,84
2002,bellbu01,22,6,16
2002,hurdlcl01,140,67,73
2002,torboje01,162,79,83
2002,williji03,162,84,78
2002,tracyji01,162,92,70
2002,lopesda01,15,3,12
2002,roystje01,147,53,94
2002,robinfr02,162,83,79
2002,valenbo02,161,75,86
2002,bowala01,161,80,81
2002,mcclell01,161,72,89
2002,bochybr01,162,66,96
2002,bakerdu01,162,95,66
2002,larusto01,162,97,65
2003,sciosmi01,162,77,85
2003,hargrmi01,163,71,91
2003,littlgr99,162,95,67
2003,manueje01,162,86,76
2003,wedgeer01,162,68,94
2003,trammal01,162,43,119
2003,penato01,162,83,79
2003,gardero01,162,90,72
2003,torrejo01,163,101,61
2003,machake01,162,96,66
2003,melvibo01,162,93,69
2003,pinielo01,162,63,99
2003,showabu99,162,71,91
2003,toscaca99,162,86,76
2003,brenlbo01,162,84,78
2003,coxbo01,162,101,61
2003,bakerdu01,162,88,74
2003,boonebo01,104,46,58
2003,knighra01,1,1,0
2003,mileyda99,57,22,35
2003,hurdlcl01,162,74,88
2003,torboje01,38,16,22
2003,mckeoja99,124,75,49
2003,williji03,162,87,75
2003,tracyji01,162,85,77
2003,yostne01,162,68,94
2003,robinfr02,162,83,79
2003,howear01,161,66,95
2003,bowala01,162,86,76
2003,mcclell01,162,75,87
2003,bochybr01,162,64,98
2003,aloufe01,161,100,61
2003,larusto01,162,85,77
2004,sciosmi01,162,92,70
2004,mazzile01,162,78,84
2004,francte01,162,98,64
2004,guilloz01,162,83,79
2004,wedgeer01,162,80,82
2004,trammal01,162,72,90
2004,penato01,162,58,104
2004,gardero01,162,92,70
2004,torrejo01,162,101,61
2004,machake01,162,91,71
2004,melvibo01,162,63,99
2004,pinielo01,161,70,91
2004,showabu99,162,89,73
2004,toscaca99,111,47,64
2004,gibbojo02,50,20,30
2004,brenlbo01,79,29,50
2004,pedrial01,83,22,61
2004,coxbo01,162,96,66
2004,bakerdu01,162,89,73
2004,mileyda99,162,76,86
2004,hurdlcl01,162,68,94
2004,mckeoja99,162,83,79
2004,williji03,88,44,44
2004,garneph01,74,48,26
2004,tracyji01,162,93,69
2004,yostne01,161,67,94
2004,robinfr02,162,67,95
2004,howear01,162,71,91
2004,bowala01,160,85,75
2004,varshga01,2,1,1
2004,mcclell01,161,72,89
2004,bochybr01,162,87,75
2004,aloufe01,162,91,71
2004,larusto01,162,105,57
2005,mazzile01,107,51,56
2005,perlosa01,55,23,32
2005,francte01,162,95,67
2005,guilloz01,162,99,63
2005,wedgeer01,162,93,69
2005,trammal01,162,71,91
2005,penato01,33,8,25
2005,schaebo99,17,5,12
2005,bellbu01,112,43,69
2005,sciosmi01,162,95,67
2005,gardero01,162,83,79
2005,torrejo01,162,95,67
2005,machake01,162,88,74
2005,hargrmi01,162,69,93
2005,pinielo01,162,67,95
2005,showabu99,162,79,83
2005,gibbojo02,162,80,82
2005,melvibo01,162,77,85
2005,coxbo01,162,90,72
2005,bakerdu01,162,79,83
2005,mileyda99,70,27,43
2005,narroje01,93,46,46
2005,hurdlcl01,162,67,95
2005,mckeoja99,162,83,79
2005,garneph01,163,89,73
2005,tracyji01,162,71,91
2005,yostne01,162,81,81
2005,randowi01,162,83,79
2005,manuech01,162,88,74
2005,mcclell01,136,55,81
2005,mackape01,26,12,14
2005,bochybr01,162,82,80
2005,aloufe01,162,75,87
2005,larusto01,162,100,62
2005,robinfr02,162,81,81
2006,perlosa01,162,70,92
2006,francte01,162,86,76
2006,guilloz01,162,90,72
2006,wedgeer01,162,78,84
2006,leylaji99,162,95,67
2006,bellbu01,162,62,100
2006,sciosmi01,162,89,73
2006,gardero01,162,96,66
2006,torrejo01,162,97,65
2006,machake01,162,93,69
2006,hargrmi01,162,78,84
2006,maddojo99,162,61,101
2006,showabu99,162,80,82
2006,gibbojo02,162,87,75
2006,melvibo01,162,76,86
2006,coxbo01,162,79,83
2006,bakerdu01,162,66,96
2006,narroje01,162,80,82
2006,hurdlcl01,162,76,86
2006,girarjo01,162,78,84
2006,garneph01,162,82,80
2006,littlgr99,162,88,74
2006,yostne01,162,75,87
2006,randowi01,162,97,65
2006,manuech01,162,85,77
2006,tracyji01,162,67,95
2006,bochybr01,162,88,74
2006,aloufe01,161,76,85
2006,larusto01,161,83,78
2006,robinfr02,162,71,91
2007,perlosa01,69,29,40
2007,trembda99,93,40,53
2007,francte01,162,96,66
2007,guilloz01,162,72,90
2007,wedgeer01,162,96,66
2007,leylaji99,162,88,74
2007,bellbu01,162,69,93
2007,sciosmi01,162,94,68
2007,gardero01,162,79,83
2007,torrejo01,162,94,68
2007,gerenbo01,162,76,86
2007,hargrmi01,78,45,33
2007,mclarjo99,84,43,41
2007,maddojo99,162,66,96
2007,washiro01,162,75,87
2007,gibbojo02,162,83,79
2007,melvibo01,162,90,72
2007,coxbo01,162,84,78
2007,pinielo01,162,85,77
2007,narroje01,82,31,51
2007,mackape01,80,41,39
2007,hurdlcl01,163,90,73
2007,gonzafr99,162,71,91
2007,garneph01,131,58,73
2007,coopece01,31,15,16
2007,littlgr99,162,82,80
2007,yostne01,162,83,79
2007,randowi01,162,88,74
2007,manuech01,162,89,73
2007,tracyji01,162,68,94
2007,blackbu02,163,89,74
2007,bochybr01,162,71,91
2007,larusto01,162,78,84
2007,actama99,162,73,89
2008,trembda99,161,68,93
2008,francte01,162,95,67
2008,guilloz01,163,89,74
2008,wedgeer01,162,81,81
2008,leylaji99,162,74,88
2008,hillmtr99,162,75,87
2008,sciosmi01,162,100,62
2008,gardero01,163,88,75
2008,girarjo01,162,89,73
2008,gerenbo01,161,75,86
2008,mclarjo99,72,25,47
2008,rigglji99,90,36,54
2008,maddojo99,162,97,65
2008,washiro01,162,79,83
2008,gibbojo02,74,35,39
2008,gastoci01,88,51,37
2008,melvibo01,162,82,80
2008,coxbo01,162,72,90
2008,pinielo01,161,97,64
2008,bakerdu01,162,74,88
2008,hurdlcl01,162,74,88
2008,gonzafr99,161,84,77
2008,coopece01,161,86,75
2008,torrejo01,162,84,78
2008,yostne01,150,83,67
2008,sveumda01,12,7,5
2008,randowi01,69,34,35
2008,manueje01,93,55,38
2008,manuech01,162,92,70
2008,russejo02,162,67,95
2008,blackbu02,162,63,99
2008,bochybr01,162,72,90
2008,larusto01,162,86,76
2008,actama99,161,59,102
2009,trembda99,162,64,98
2009,francte01,162,95,67
2009,guilloz01,162,79,83
2009,wedgeer01,162,65,97
2009,leylaji99,163,86,77
2009,hillmtr99,162,65,97
2009,sciosmi01,162,97,65
2009,gardero01,163,87,76
2009,girarjo01,162,103,59
2009,gerenbo01,162,75,87
2009,wakamdo01,162,85,77
2009,maddojo99,162,84,78
2009,washiro01,162,87,75
2009,gastoci01,162,75,87
2009,melvibo01,29,12,17
2009,hinchaj01,133,58,75
2009,coxbo01,162,86,76
2009,pinielo01,161,83,78
2009,bakerdu01,162,78,84
2009,hurdlcl01,46,18,28
2009,tracyji01,116,74,42
2009,gonzafr99,162,87,75
2009,coopece01,149,70,79
2009,clarkda05,13,4,9
2009,torrejo01,162,95,67
2009,machake01,162,80,82
2009,manueje01,162,70,92
2009,manuech01,162,93,69
2009,russejo02,161,62,99
2009,blackbu02,162,75,87
2009,bochybr01,162,88,74
2009,larusto01,162,91,71
2009,actama99,87,26,61
2009,rigglji99,75,33,42
2010,trembda99,54,15,39
2010,samueju01,51,17,34
2010,showabu99,57,34,23
2010,francte01,162,89,73
2010,guilloz01,162,88,74
2010,actama99,162,69,93
2010,leylaji99,162,81,81
2010,hillmtr99,35,12,23
2010,yostne01,127,55,72
2010,sciosmi01,162,80,82
2010,gardero01,162,94,68
2010,girarjo01,162,95,67
2010,gerenbo01,162,81,81
2010,wakamdo01,112,42,70
2010,brownda99,50,19,31
2010,maddojo99,162,96,66
2010,washiro01,162,90,72
2010,gastoci01,162,85,77
2010,hinchaj01,79,31,48
2010,gibsoki01,83,34,49
2010,coxbo01,162,91,71
2010,pinielo01,125,51,74
2010,quademi99,37,24,13
2010,bakerdu01,162,91,71
2010,tracyji01,162,83,79
2010,gonzafr99,70,34,36
2010,rodried02,92,46,46
2010,millsbr01,162,76,86
2010,torrejo01,162,80,82
2010,machake01,162,77,85
2010,manueje01,162,79,83
2010,manuech01,162,97,65
2010,russejo02,162,57,105
2010,blackbu02,162,90,72
2010,bochybr01,162,92,70
2010,larusto01,162,86,76
2010,rigglji99,162,69,93
2011,showabu99,162,69,93
2011,francte01,162,90,72
2011,guilloz01,160,78,82
2011,coopedo01,2,1,1
2011,actama99,162,80,82
2011,leylaji99,162,95,67
2011,yostne01,162,71,91
2011,sciosmi01,162,86,76
2011,gardero01,162,63,99
2011,girarjo01,162,97,65
2011,gerenbo01,63,27,36
2011,melvibo01,99,47,52
2011,wedgeer01,162,67,95
2011,maddojo99,162,91,71
2011,washiro01,162,96,66
2011,farrejo03,162,81,81
2011,gibsoki01,162,94,68
2011,gonzafr99,162,89,73
2011,quademi99,162,71,91
2011,bakerdu01,162,79,83
2011,tracyji01,162,73,89
2011,rodried02,71,32,39
2011,hydebr99,1,0,1
2011,mckeoja99,90,40,50
2011,millsbr01,162,56,106
2011,mattido01,161,82,79
2011,roeniro01,162,96,66
2011,collite99,162,77,85
2011,manuech01,162,102,60
2011,hurdlcl01,162,72,90
2011,blackbu02,162,71,91
2011,bochybr01,162,86,76
2011,larusto01,162,90,72
2011,rigglji99,75,38,37
2011,mclarjo99,3,2,1
2011,johnsda02,83,40,43
2012,showabu99,162,93,69
2012,valenbo02,162,69,93
2012,venturo01,162,85,77
2012,actama99,156,65,91
2012,alomasa02,6,3,3
2012,leylaji99,162,88,74
2012,yostne01,162,72,90
2012,sciosmi01,162,89,73
2012,gardero01,162,66,96
2012,girarjo01,162,95,67
2012,melvibo01,162,94,68
2012,wedgeer01,162,75,87
2012,maddojo99,162,90,72
2012,washiro01,162,93,69
2012,farrejo03,162,73,89
2012,gibsoki01,162,81,81
2012,gonzafr99,162,94,68
2012,sveumda01,162,61,101
2012,bakerdu01,162,97,65
2012,tracyji01,162,64,98
2012,millsbr01,121,39,82
2012,defrato99,41,16,25
2012,mattido01,162,86,76
2012,guilloz01,162,69,93
2012,roeniro01,162,83,79
2012,collite99,162,74,88
2012,manuech01,162,81,81
2012,hurdlcl01,162,79,83
2012,blackbu02,162,76,86
2012,bochybr01,162,94,68
2012,mathemi01,162,88,74
2012,johnsda02,162,98,64
2013,showabu99,162,85,77
2013,farrejo03,162,97,65
2013,venturo01,162,63,99
2013,francte01,162,92,70
2013,leylaji99,162,93,69
2013,portebo03,162,51,111
