yearID,teamID,Division,Rank,Games,Wins,Losses,Division winner,League winner,World series winner,Runs scored,At bats,Hits by batters,Doubles,Triples,Homeruns,Walks,Strikeouts,Stolen bases,Cought stealing,Batters hit by pitch,Sacrifice flies,Opponents runs scored,Earned runs allowed,Earned runs average,Shutouts,Saves,Hits allowed,Homeruns allowed,Walks allowed,Strikeouts allowed,Errors,Double plays,Fielding percentage
1989,CHN,E,1,162,93,69,Y,N,N,702,5513,1438,235,45,124,472.0,921.0,136.0,57.0,26.0,50.0,623,556,3.43,10,55,1369,106,532,918,124,130,0.98
1989,CIN,W,5,162,75,87,N,N,N,632,5520,1362,243,28,128,493.0,1028.0,128.0,71.0,30.0,49.0,691,607,3.73,9,37,1404,125,559,981,121,108,0.98
1989,CLE,E,6,162,73,89,N,N,N,604,5463,1340,221,26,127,499.0,934.0,74.0,51.0,35.0,41.0,654,589,3.65,13,38,1423,107,452,844,118,126,0.981
1989,DET,E,7,162,59,103,N,N,N,617,5432,1315,198,24,116,585.0,899.0,103.0,50.0,37.0,43.0,816,719,4.53,4,26,1514,150,652,831,130,153,0.9790000000000001
1989,HOU,W,3,162,86,76,N,N,N,647,5516,1316,239,28,97,530.0,860.0,144.0,62.0,27.0,44.0,669,599,3.64,12,38,1379,105,551,965,142,121,0.977
1989,KCA,W,2,162,92,70,N,N,N,690,5475,1428,227,41,101,554.0,897.0,154.0,51.0,29.0,50.0,635,572,3.55,13,38,1415,86,455,978,114,139,0.982
1989,LAN,W,4,160,77,83,N,N,N,554,5465,1313,241,17,89,507.0,885.0,81.0,54.0,27.0,41.0,536,479,2.95,19,36,1278,95,504,1052,118,153,0.981
1989,MIN,W,5,162,80,82,N,N,N,740,5581,1542,278,35,117,478.0,743.0,111.0,53.0,39.0,58.0,738,680,4.28,8,38,1495,139,500,851,107,141,0.982
1989,MIL,E,4,162,81,81,N,N,N,707,5473,1415,235,32,126,455.0,791.0,165.0,62.0,50.0,54.0,679,604,3.8,8,45,1463,129,457,812,155,164,0.975
1989,MON,E,4,162,81,81,N,N,N,632,5482,1353,267,30,100,572.0,958.0,160.0,70.0,35.0,46.0,630,567,3.48,13,35,1344,120,519,1059,136,126,0.9790000000000001
1989,NYA,E,5,161,74,87,N,N,N,698,5458,1470,229,23,130,502.0,831.0,137.0,60.0,27.0,49.0,792,708,4.5,9,44,1550,150,521,787,122,183,0.98
